icao,iata,nombre,ciudad,pais,tipo,lat,lon
AR-0086,,Carmen de Areco Airport,Carmen de Areco,AR,small_airport,-34.4175,-59.8719
AR-0088,,Casilda Airport,Casilda,AR,small_airport,-33.0617,-61.21
AR-0089,,Castelli Airport,Castelli,AR,small_airport,-36.11000061035156,-57.86194610595703
AR-0090,,Castelli Airport,Chaco,AR,small_airport,-25.93083381652832,-60.628055572509766
AR-0094,,Cereales Anahi Ruca Airport,General Pico,AR,small_airport,-35.6736106873,-63.7180557251
AR-0096,,Chacabuco Airport,Chacabuco,AR,small_airport,-34.6069,-60.4097
AR-0097,,Chacharramendi Airport,Chacharramendi,AR,small_airport,-37.340599,-65.646698
AR-0098,,Chajari Airport,Chajari,AR,small_airport,-30.7542,-58
AR-0099,,Chañar Ladeado Airport,Chañar Ladeado,AR,small_airport,-33.3333,-62.0333
AR-0100,,Chascomús Airport,Chascomús,AR,small_airport,-35.542621,-58.052137
AR-0101,,Chivilcoy Airport,Chivilcoy,AR,small_airport,-34.9639,-60.0333
AR-0102,,Cholila Airport,Cholila,AR,small_airport,-42.480501,-71.456902
AR-0103,,Cinco Saltos Airport,Cinco Saltos,AR,small_airport,-38.801666,-68.037224
AR-0107,,Colón Airport,Colón,AR,small_airport,-33.9231,-61.0461
AR-0108,,Colon Airport,Colon,AR,small_airport,-32.2614,-58.1556
AR-0110,,Concepcion Del Uruguay Airport,Concepcion Del Uruguay,AR,small_airport,-32.4519,-58.3058
AR-0111,,Concordia Aeroclub Airport,Concordia,AR,small_airport,-31.3042,-58.0153
AR-0112,,Confluencia Airport,Confluencia,AR,small_airport,-36.771400451699996,-69.5385971069
AR-0113,,Coronel Dorrego Airport,Coronel Dorrego,AR,small_airport,-38.7411,-61.2561
AR-0114,,Coronel Pringles Airport,Coronel Pringles,AR,small_airport,-38.0066680908,-61.331943512
AR-0115,,Coronel Vidal Airport,Coronel Vidal,AR,small_airport,-37.4689,-57.7669
AR-0116,,Corral De Bustos Airport,Corral de Bustos,AR,small_airport,-33.2811,-62.1514
AR-0117,,Santa María Airport,Cosquin,AR,small_airport,-31.2861,-64.455299
AR-0118,,Cruz Alta Airport,Cruz Alta,AR,small_airport,-33.0078,-61.8369
AR-0119,,Curuzu Cuatia Aeroclub Airport,Curuzu Cuatia,AR,small_airport,-29.7789,-58.0958
AR-0121,,Fumigaciones Rodriguez Airport,Daireaux,AR,small_airport,-36.590491,-61.774888
AR-0122,,Darregueira Airport,Darregueira,AR,small_airport,-37.7127990723,-63.161899566699994
AR-0124,,Dean Funes Airport,Dean Funes,AR,small_airport,-30.379199981699998,-64.379699707
AR-0125,,Diamante Airport,Diamante,AR,small_airport,-32.0161,-60.5825
AR-0127,,Agrocelta Servicios Aereos Airport,Mariano H. Alfonzo,AR,small_airport,-33.8867,-60.8628
AR-0128,,Saavedra Airport,Saavedra,AR,small_airport,-37.750242,-62.33425
AR-0130,,Eduardo Castex Airport,Eduardo Castex,AR,small_airport,-35.8805541992,-64.2738876343
AR-0131,,El Alamito Airport,El Alamito,AR,small_airport,-37.27361297607422,-70.38972473144531
AR-0132,,Establecimiento El Araza Airport,Maipu,AR,small_airport,-36.7756,-57.6414
AR-0134,,El Corcovado Airport,Corcovado,AR,small_airport,-43.5336,-71.484703
AR-0135,,El Gaucho Airport,Las Parejas,AR,small_airport,-32.6294,-61.5444
AR-0137,,El Pajaro Airport,Florencio Varela,AR,small_airport,-34.823537,-58.316307
AR-0138,,El Pampero Airport,Santa Rosa,AR,small_airport,-36.5928001404,-64.1866989136
AR-0139,,El Trebol Airport,El Trebol,AR,small_airport,-32.2153,-61.7161
AR-0141,,Esperanza Airport,Esperanza,AR,small_airport,-31.4736,-60.8447
AR-0142,,Esquina Airport,Esquina,AR,small_airport,-30.0489,-59.5353
AR-0143,,Estancia Don Roberto Airport,Villa Mercedes,AR,small_airport,-34.0013999939,-65.366897583
AR-0147,,Estancia La Choza Airport,Chajari,AR,small_airport,-30.5389,-58.2928
AR-0148,,Estancia La Laurita Airport,Alto Rio Senguerr,AR,small_airport,-44.7761116027832,-70.1963882446289
AR-0149,,Estancia Llamuco Airport,Llamuco,AR,small_airport,-38.79944610595703,-70.43472290039062
AR-0150,,Estancia Los Cardos Airport,Balcarce,AR,small_airport,-37.7356,-58.0342
AR-0151,,Estancia Nueva Lubecka Airport,Jose de San Martin,AR,small_airport,-44.44194412231445,-70.44222259521484
AR-0153,,Estancia San Juan Airport,Curuzu Cuatia,AR,small_airport,-29.6028,-58.0281
AR-0154,,Estancia San Ramón Airport,Santa Cruz,AR,small_airport,-50.303495,-69.926057
AR-0155,,Estancia Santa Ana Airport,El Turbio,AR,small_airport,-51.680841,-71.9652
AR-0157,,Estindher Airport,Rio Cuarto,AR,small_airport,-33.0931015015,-64.42919921880001
AR-0158,,Ezpeleta Airport,Ezpeleta,AR,small_airport,-34.7464,-58.2033
AR-0160,,Firmat Aeroclub Airport,Firmat,AR,small_airport,-33.4289,-61.5108
AR-0161,,Aeródromo sede del Aeroclub Formosa,Formosa,AR,small_airport,-26.3014,-58.2983
AR-0162,,Fortín De Gainza Airport,Santa Regina,AR,small_airport,-34.5494,-63.1225
